Location,Address,Latitude,Longitude
State Office,"No. 3 Moputo Street, Zone 3",9.0605784,7.4688772
Abaji LGA,"Abaji Local Government Secretariat (Council Chambers), Off Kogi-Agbaji Expressway, Abaji",8.4746755,6.9450688
"Abuja Electricity Distribution Company (AEDC), Lugbe","AEDC Distribution Center, Lugbe Federal Housing Authority (FHA)",8.9836684,7.3614779
AMAC LGA,"AMAC Secretariat, Kabusa Junction, Apo Village",8.8953032,7.394882
Bwari LGA,"Bwari Area Council Secretariat, Bwari",9.28206,7.37879
Dakwa,"Chief’s Palace, Dakwa",,
Dei-Dei International Market,Dei-Dei International Building Materials Market,9.0999388,7.2780994
Dutse ERC,"Chief Palace, Dutse",11.7023512,9.3340158
"Faith Academy, Kubwa","Faith Academy School, Kubwa",30.7027574,-88.2445746
FCTA High Court,"FCT High Court, Maitama",9.0819394,7.4923262
"Federal Road Safety Commission, Zone 7","FRSC FCT Command, Zone 7, Wuse",9.0798183,7.4922407
Federal Secretariat,"Federal Secretariat Phase I, Ground Floor, SGF Hall, Ahmadu Bello Way",9.0864444,7.4432892
Gwagwalada LGA,"Old Federal Secretariat, After Atlas Hotel, Gwagwalada Abuja",8.9446184,7.083086
Gwarinpa FHA,"Third Avenue By Police Station, Gwarinpa",9.1001562,7.4108304
Independent National Electoral Commission HQ,"INEC Headquarters, Maitama",9.0774326,7.492831
Jiwa,"Chief’s Palace, Jiwa",,
Karshi,"Women Development Center Opposite Secretariat, Karshi",,
Kuje LGA,"Opposite Forest Pasali, along Kuje/Gwagwalada Road",8.9605093,7.0606563
Kwali LGA,"Kwali Area Council Secretariat, Abuja/Lokoja Expressway, Kwali",9.0948621,7.5432234
Mambilla Barracks,"Mambilla Barracks, Asokoro",9.0899137,7.5196695
Ministry of Agriculture,"Ministry Of Foreign Affairs, Ahmadu Bello Way",9.0864444,7.4432892
Ministry of Foreign Affairs,"Federal Ministry Of Agriculture, Area 11, Garki",9.0361343,7.4997507
Mogadishu Cantonment,"Mogadishu Barracks, after A.Y.A, along Nyanya-Mararba Road",9.0484146,7.5379733
National Assembly,"Opposite Zenith Bank, National Assembly",,
Nigeria Immigration Service,"Nigeria Immigration Service Head Quarters ERC, Sauka, Airport Road Abuja",8.9240537,7.2214682
Nigerian Custom Service (Karu),"Customs Workshop, beside Custom Clinic, Karu Site",9.0268067,7.6004644
NIMC Headquarters,"11 Sokode Crescent, Off Dalaba Street, Zone 5, Wuse, Abuja",9.0659386,7.4549924
NIMC Headquarters Annex,"11 Sokode Crescent, Off Dalaba Street, Zone 5, Wuse, Abuja",9.0659386,7.4549924
NIMC Headquarters VIP,"11 Sokode Crescent, Off Dalaba Street, Zone 5, Wuse, Abuja",9.0659386,7.4549924
NIPOST Kubwa,"Opposite Kubwa General Hospital, Phase IV",9.1574219,7.340516
National Orientation Agency,"NOA, Old Federal Secretariat, Area 1, Garki",9.02582,7.47046
National Open University of Nigeria,"Open University, Jabi, Off FMC Road",9.0641062,7.4229395
NYSC Kubwa,"NYSC Camp, Kubwa",9.1487338,7.3181868
"Public Service Institute (PSI), Kubwa Road","Public Service Institute Of Nigeria, Kubwa Road, Dutse",11.71455,9.358137
Secretary to the Government of the Federation (SGF),"Office Of The Secretary To The Government Of The Federation (OSGF), Shehu Shagari Complex",9.0522425,7.5062316
State Security Service (SSS),"Yellow House Headquarters SSS, Aso Villa",9.0622697,7.5185333
